12:19:51.063559,CE1069EA-67FA-4CFD-89E8,DPI_2005_Conf,-41,Bob 
12:20:01.085558,05EDA433-6391-4C9C-B57C,DPI_2005_Conf,-43,Bob 
12:20:11.097221,05EDA433-6391-4C9C-B57C,DPI_2005_Conf,-45,Bob 
12:20:21.060827,05EDA433-6391-4C9C-B57C,DPI_2005_Conf,-48,Bob 
12:20:31.211552,7F9C3A42-3379-4ADF-BF1A,DPI_2005_Conf,-49,Bob 
12:20:41.130767,7F9C3A42-3379-4ADF-BF1A,DPI_2005_Conf,-47,Bob 
12:20:51.065675,7F9C3A42-3379-4ADF-BF1A,DPI_2005_Conf,-47,Bob 
12:21:01.110104,A3A37E27-A624-4D8B-BF20,DPI_2005_Conf,-44,Bob 
12:21:11.111726,A3A37E27-A624-4D8B-BF20,DPI_2005_Conf,-44,Bob 
12:21:21.096167,A3A37E27-A624-4D8B-BF20,DPI_2005_Conf,-39,Bob 
12:21:31.123777,F6648907-3CDC-4ECD-A793,DPI_2005_Conf,-44,Bob 
12:21:41.068044,F6648907-3CDC-4ECD-A793,DPI_2005_Conf,-48,Bob 
12:21:51.088359,F6648907-3CDC-4ECD-A793,DPI_2005_Conf,-44,Bob 
12:22:01.070643,92A80D57-C4A9-4162-A6B0,DPI_2005_Conf,-48,Bob 
12:22:11.079625,92A80D57-C4A9-4162-A6B0,DPI_2005_Conf,-46,Bob 
12:22:51.093393,0251A03A-AFA5-496B-B0A5,DPI_2005_Conf,-47,Bob 
12:27:31.217383,F05A325E-C349-4A54-82A6,DPI_2005_Conf,-46,Bob 
12:28:01.056313,0530C589-23CB-4296-A004,DPI_2005_Conf,-43,Bob 
12:28:41.152792,F747B65F-7B03-47B1-816F,DPI_2005_Conf,-46,Bob 
12:29:11.271772,16A68ABD-1705-4178-813A,DPI_2005_Conf,-45,Bob 
12:29:51.148288,C2EB120B-307D-4D97-8711,DPI_2005_Conf,-40,Bob 
12:30:01.074197,E629CF84-CB62-4C03-9B26,DPI_2005_Conf,-40,Bob 
12:30:11.133781,E629CF84-CB62-4C03-9B26,DPI_2005_Conf,-41,Bob 
12:30:21.075125,E629CF84-CB62-4C03-9B26,DPI_2005_Conf,-46,Bob 
12:30:31.195610,2B9E0F0E-64A2-4322-8A12,DPI_2005_Conf,-47,Bob 
12:30:41.071380,2B9E0F0E-64A2-4322-8A12,DPI_2005_Conf,-40,Bob 
12:30:51.027442,2B9E0F0E-64A2-4322-8A12,DPI_2005_Conf,-48,Bob 
